184,University of Nebraska at Omaha,Nebraska-Omaha,NebraskaOmaha,Mavericks,The Summit,neoma
185,"University of Nevada, Reno",Nevada,Nevada,Wolf Pack,Mountain West,nevada
186,University of New Hampshire,UNH,NewHampshire,Wildcats,America East,unh
187,University of New Mexico,New Mexico,NewMexico,Lobos,Mountain West,nm
188,New Mexico State University,New Mexico State,NewMexicoSt,Aggies,WAC,nmst
189,University of New Orleans,New Orleans,NewOrleans,Privateers,Southland,uno
190,Niagara University,Niagara,Niagara,Purple Eagles,MAAC,nia
191,Nicholls State University,,NichollsSt,Colonels,Southland,nich
192,New Jersey Institute of Technology,NJIT,NJIT,Highlanders,Independent,njit
193,Norfolk State University,Norfolk State,NorfolkSt,Spartans,MEAC,nor
194,University of North Carolina at Chapel Hill,North Carolina,NorthCarolina,Tar Heels,ACC,unc
195,North Carolina Agricultural and Technical State University,NC A & T,NCAT,Aggies,MEAC,nca&t
196,North Carolina Central University,NC Central,NorthCarolinaCentral,Eagles,MEAC,nccent
197,North Dakota State University,North Dakota State,NorthDakotaSt,Bison,The Summit,ndakst
198,University of North Texas,North Texas,NorthTexas,Mean Green,Conference USA,nortx
199,Northeastern University,Northeastern,Northeastern,Huskies,CAA,ne
200,Northern Arizona University,Northern Arizona,NorthernArizona,Lumberjacks,Big Sky,noari
201,Northern Illinois University,Northern Illinois,NorthernIllinois,Huskies,MAC,niu
202,Northern Kentucky University,Northern Kentucky,NorthernKentuckyNorse,Norse,Atlantic Sun,nortky
203,Northwestern State University,Northwstern State,NorthwesternSt,Demons,Southland,nwst
204,Northwestern University,Northwestern,Northwestern,Wildcats,Big Ten,nw
205,University of Notre Dame,Notre Dame,NotreDame,Fighting Irish,ACC,nd
206,Oakland University,Oakland,Oakland,Golden Grizzlies,Horizon League,oak
207,Ohio State University,Ohio State,OhioSt,Buckeyes,Big Ten,ohiost
208,Ohio University,Ohio,Ohio,Bobcats,MAC,ohio
209,University of Oklahoma,Oklahoma,Oklahoma,Sooners,Big 12,okla
210,Oklahoma State University,Oklahoma State,OklahomaSt,Cowboys,Big 12,okst
211,Old Dominion University,Old Dominion,OldDominion,Monarchs,Conference USA,odu
212,Oral Roberts University,Oral Roberts,OralRoberts,Golden Eagles,The Summit,orrob
213,University of Oregon,Oregon,Oregon,Ducks,Pac-12,oregon
214,Oregon State University,Oregon State,OregonSt,Beavers,Pac-12,orest
215,University of the Pacific,Pacific,Pacific,Tigers,West Coast,pac
216,University of Pennsylvania,Penn,Pennsylvania,Quakers,Ivy League,penn
217,Pennsylvania State University,Penn State,PennSt,Nittany Lions,Big Ten,psu
218,Pepperdine University,Pepperdine,Pepperdine,Waves,West Coast,pepper
219,University of Pittsburgh,Pitt,Pittsburgh,Panthers,ACC,pitt
220,University of Portland,Portland,Portland,Pilots,West Coast,por
221,Portland State University,Portland State,PortlandSt,Vikings,Big Sky,porst
222,Prairie View A&M University,Prairie View A & M,PrairieViewAM,Panthers,SWAC,pva&m
223,Presbyterian College,Presbyterian,Presbyterian,Blue Hose,Big South,presby
224,Princeton University,Princeton,Princeton,Tigers,Ivy League,prince
225,Providence College,Providence,Providence,Friars,Big East,prov
226,Purdue University,Purdue,Purdue,Boilermakers,Big Ten,purdue
227,Quinnipiac University,Quinnipiac,Quinnipiac,Bobcats,MAAC,quinni
228,Radford University,Radford,Radford,Highlanders,Big South,rad
229,University of Rhode Island,URI,RhodeIsland,Rams,A-10,uri
230,Rice University,Rice,Rice,Owls,Conference USA,rice
231,University of Richmond,Richmond,Richmond,Spiders,A-10,rich
232,Rider University,Rider,Rider,Broncs,MAAC,rider
233,Robert Morris University,Robert Morris,RobertMorris,Colonials,Northeast,rmor
234,Rutgers University,Rutgers,Rutgers,Scarlet Knights,Big Ten,rut
235,Sacred Heart University,Sacred Heart,SacredHeart,Pioneers,Northeast,sheart
236,St. John's University,St. John's,StJohns,Red Storm,Big East,stjn
